Year,Month,Day,Full-Date,Fighter,Color,Country,Winner,TitleBout,WeightClass,Gender,NumberRounds,Avg-SSL,Avg-SSP,Avg-SA,Avg-TDL,Avg-TDP,Stance,Height,Reach,Weight,Age,Finish,Details,F-Round,F-RoundTime,Fight-Secs,Wins-DM,Wins-DS,Wins-DU,Wins-KO,Wins-S,Wins-TKOS,Wins-T
2024,12,7,2024127,Alexandre Pantoja,Red,USA,1,TRUE,Flyweight,MALE,5,4.41,0.49,0.8,2.61,0.47,Orthodox,165.1,170.18,125,34,SUB,Rear Naked Choke,2,125,425,0,2,4,2,4,0,12
2024,12,7,2024127,Shavkat Rakhmonov,Red,USA,1,FALSE,Welterweight,MALE,3,4.12,0.61,1.8,1.49,0.29,Orthodox,185.42,195.58,170,30,U-DEC,,5,300,1500,0,0,0,1,5,0,6
2024,12,7,2024127,Ciryl Gane,Red,USA,1,FALSE,Heavyweight,MALE,3,5.49,0.6,0.5,0.58,0.21,Orthodox,193.04,205.74,245,34,S-DEC,,3,300,900,0,0,3,4,2,0,9
2024,12,7,2024127,Bryce Mitchell,Red,USA,1,FALSE,Featherweight,MALE,3,2.3,0.58,1.6,3.45,0.41,Southpaw,177.8,177.8,145,30,KO/TKO,Elbows,3,39,639,1,0,5,0,1,0,7
2024,12,7,2024127,Nate Landwehr,Red,USA,0,FALSE,Featherweight,MALE,3,6.25,0.46,1,1,0.41,Orthodox,175.26,182.88,145,36,KO/TKO,Elbows,3,201,801,1,0,1,1,2,0,5
2024,12,7,2024127,Dominick Reyes,Red,USA,1,FALSE,Light Heavyweight,MALE,3,4.87,0.5,0.3,0.35,0.28,Southpaw,193.04,195.58,205,34,KO/TKO,Punches,2,286,586,0,1,1,4,1,0,7
2024,12,7,2024127,Vicente Luque,Red,USA,1,FALSE,Welterweight,MALE,3,5.07,0.52,0.6,1,0.53,Orthodox,180.34,190.5,170,33,SUB,Anaconda Choke,1,52,52,0,1,1,8,5,0,15
2024,12,7,2024127,Movsar Evloev,Red,USA,1,FALSE,Featherweight,MALE,3,4.43,0.48,0.2,4.75,0.46,Orthodox,170.18,182.88,145,30,U-DEC,,3,300,900,0,1,7,0,0,0,8
2024,12,7,2024127,Randy Brown,Red,USA,0,FALSE,Welterweight,MALE,3,4.38,0.47,0.6,0.72,0.39,Orthodox,190.5,198.12,170,34,S-DEC,,3,300,900,0,1,6,3,3,0,13
2024,12,7,2024127,Chris Weidman,Red,USA,0,FALSE,Catch Weight,MALE,3,3.18,0.45,0.8,3.44,0.42,Orthodox,187.96,198.12,185,40,KO/TKO,Punches,2,291,591,0,0,5,4,3,0,12
2024,12,7,2024127,Cody Durden,Red,USA,0,FALSE,Flyweight,MALE,3,3.35,0.5,0.9,4.36,0.5,Southpaw,170.18,170.18,125,33,U-DEC,,3,300,900,0,0,4,1,1,0,6
2024,12,7,2024127,Michael Chiesa,Red,USA,1,FALSE,Welterweight,MALE,3,1.86,0.4,1,3.35,0.51,Southpaw,185.42,190.5,170,37,SUB,Rear Naked Choke,3,116,716,0,0,5,0,7,0,12
2024,12,7,2024127,Clay Guida,Red,USA,0,FALSE,Lightweight,MALE,3,2.64,0.33,0.6,3.13,0.36,Orthodox,170.18,177.8,155,42,SUB,Armbar,1,221,221,0,4,9,2,5,0,20
2024,12,7,2024127,Kennedy Nzechukwu,Red,USA,1,FALSE,Heavyweight,MALE,3,5.34,0.47,0.2,0.58,0.45,Southpaw,195.58,210.82,205,32,KO/TKO,Punch,1,291,291,0,1,1,6,1,0,9
2024,11,23,20241123,Petr Yan,Red,China,1,FALSE,Bantamweight,MALE,5,5.11,0.54,0.1,1.61,0.49,Switch,170.18,170.18,135,31,U-DEC,,5,300,1500,0,0,5,4,0,0,9
2024,11,23,20241123,Yan Xiaonan,Red,China,1,FALSE,Women's Strawweight,FEMALE,3,4.99,0.45,0,0.92,0.73,Orthodox,165.1,160.02,115,35,U-DEC,,3,300,900,1,0,6,1,0,0,8
2024,11,23,20241123,Song Kenan,Red,China,0,FALSE,Welterweight,MALE,3,4.49,0.46,0,0.42,0.3,Orthodox,182.88,180.34,170,34,KO/TKO,Kick,1,229,229,0,0,3,3,0,0,6
2024,11,23,20241123,Wang Cong,Red,China,0,FALSE,Women's Flyweight,FEMALE,3,5.81,0.46,2.3,1.16,0.5,Southpaw,167.64,167.64,125,32,SUB,Rear Naked Choke,2,229,529,0,0,0,1,1,0,2
2024,11,23,20241123,Volkan Oezdemir,Red,China,0,FALSE,Light Heavyweight,MALE,3,4.95,0.48,0.1,0.5,0.29,Orthodox,187.96,190.5,205,35,U-DEC,,3,300,900,0,2,1,4,1,0,8
2024,11,23,20241123,Zhang Mingyang,Red,China,1,FALSE,Light Heavyweight,MALE,3,8.57,0.55,0,0,0,Orthodox,187.96,190.5,205,26,KO/TKO,Elbow,1,145,145,0,0,0,2,0,0,2
2024,11,23,20241123,Baergeng Jieleyisi,Red,China,0,FALSE,Bantamweight,MALE,3,1.75,0.38,0.3,1.65,0.75,Orthodox,175.26,177.8,135,28,U-DEC,,3,300,900,0,0,1,0,1,0,2
2024,11,23,20241123,Kiru Sahota,Red,China,0,FALSE,Flyweight,MALE,3,4.05,0.52,0.5,0.92,0.33,Orthodox,177.8,185.42,125,29,KO/TKO,Punch,1,156,156,0,1,1,0,0,0,2
2024,11,23,20241123,Shi Ming,Red,China,1,FALSE,Women's Strawweight,FEMALE,3,3.48,0.39,0,0.37,0.16,Orthodox,157.48,152.4,115,30,KO/TKO,Kick,3,46,646,0,1,1,0,0,0,2
2024,11,23,20241123,Nyamjargal Tumendemberel,Red,China,0,FALSE,Flyweight,MALE,3,3.13,0.38,2.4,2.42,0.31,Orthodox,170.18,180.34,125,26,S-DEC,,3,300,900,0,1,0,0,1,0,2
2024,11,23,20241123,Lone'er Kavanagh,Red,China,1,FALSE,Flyweight,MALE,3,3.62,0.43,0,0,0,Orthodox,162.56,170.18,125,25,U-DEC,,3,300,900,0,0,0,1,0,0,1
2024,11,23,20241123,Xiao Long,Red,China,1,FALSE,Bantamweight,MALE,3,5.4,0.5,0,0.84,0.25,Orthodox,172.72,177.8,135,26,KO/TKO,Punch,3,88,688,1,1,0,0,0,0,2
2024,11,23,20241123,Maheshate,Red,China,0,FALSE,Lightweight,MALE,3,3.86,0.29,0,0,0,Orthodox,182.88,180.34,155,24,U-DEC,,3,300,900,0,1,1,1,0,0,3
2024,11,16,20241116,Jon Jones,Red,USA,1,TRUE,Heavyweight,MALE,5,4.38,0.58,0.5,1.89,0.45,Orthodox,193.04,213.36,248,37,KO/TKO,Spinning Back Kick,3,269,869,0,1,9,5,6,0,21
2024,11,16,20241116,Charles Oliveira,Red,USA,1,FALSE,Lightweight,MALE,3,3.4,0.55,2.7,2.25,0.4,Orthodox,177.8,187.96,155,35,U-DEC,,5,300,1500,0,0,2,4,16,0,22
