fighter_name,birth-year,birth-month,birth-day,Full-bday,age,death-year,Nationality,Region,association,height-cm,weight-lbs,weight_class,wins,wins_ko,wins_submission,wins_decision,lossess,losses_ko,losses_submission,losses_decision
Kharun Atlangeriev,1992,10,5,1992105,28,0,Russia,Eurasia,OFS Team,177.8,155,Lightweight,11,5,5,1,11,0,1,1
Shojin Miki,0,0,0,000,0,0,United States,United States,HMC Academy,175.26,125,Flyweight,6,2,4,0,6,2,0,5
Ryan Keenan,1985,6,15,1985615,36,0,United States,United States,Gracie Orlando,182.88,155,Lightweight,6,3,3,0,6,1,1,0
Dustin Jacoby,1988,4,4,198844,33,0,United States,United States,Factory X,193.04,205,Light Heavyweight,14,9,1,4,14,1,2,2
Richardson Moreira,1984,3,31,1984331,37,0,Brazil,Brazil,Team Nogueira,187.96,205,Light Heavyweight,8,2,5,1,8,1,1,3
Chris Haseman,1969,6,2,196962,52,0,Australia,Oceania,Rings Australia,180.34,198,Light Heavyweight,20,2,14,3,20,8,3,6
Fares Ziam,1997,3,21,1997321,24,0,France,West Europe,Team Ezbiri,182.88,155,Lightweight,12,5,4,3,12,0,2,1
James Bochnovic,1989,2,13,1989213,32,0,United States,United States,Rothwell MMA,193.04,185,Middleweight,10,1,9,0,10,2,2,1
Adrian Pang,1977,9,2,197792,43,0,Papua New Guinea,Oceania,Integrated MMA,170.18,155,Lightweight,23,6,10,7,23,3,1,9
Haobin Ma,1994,1,23,1994123,27,0,China,Asia,Jincan Defense Club,0,125,Flyweight,13,3,5,5,13,2,1,5
Lance Everson,0,0,0,000,0,0,United States,United States,Boneyard,175.26,185,Middleweight,11,6,1,4,11,2,6,1
Journey Newson,1989,3,7,198937,32,0,United States,United States,Impact Jiu Jitsu,165.1,135,Bantamweight,9,3,3,3,9,2,0,1
Christian Wellisch,0,0,0,000,0,0,United States,United States,American Kickboxing Academy,187.96,234,Heavyweight,8,4,3,1,8,3,1,1
Ryuichiro Sumimura,1986,2,14,1986214,35,0,Japan,Asia,Independent,180.34,170,Welterweight,18,4,5,9,18,1,1,5
Michael Chiesa,1987,12,7,1987127,33,0,United States,United States,Sikjitsu,185.42,170,Welterweight,18,0,11,7,18,1,4,0
Klidson Abreu,1992,12,24,19921224,28,0,Brazil,Brazil,Evolucao Thai,187.96,205,Light Heavyweight,15,4,10,1,15,3,0,2
John Kolosci,1974,11,26,19741126,46,0,United States,United States,Gilbert Grappling,180.34,155,Lightweight,15,3,5,7,15,2,5,2
Giorgio Pietrini,1991,6,23,1991623,30,0,Italy,West Europe,Rendoki Dojo,182.88,170,Welterweight,16,8,4,4,16,0,2,3
Sidemar Honorio,1980,5,5,198055,41,0,Brazil,Brazil,Renzo Gracie Philly,170.18,126,Flyweight,13,3,3,7,13,1,1,5
Sultan Umar,1986,2,8,198628,35,0,United States,United States,Midwest Training Center,185.42,170,Welterweight,6,4,0,2,6,1,0,1
Xavier Siller,1994,6,6,199466,27,0,United States,United States,,165.1,125,Flyweight,7,2,3,1,7,3,3,0
Allen Chong,1982,5,30,1982530,39,0,Malaysia,Asia,Borneo Tribal Squad,167.64,155,Lightweight,3,1,1,1,3,4,1,0
Michael McBride,0,0,0,000,0,0,United States,United States,,185.42,155,Lightweight,8,0,8,0,8,1,0,2
Iuri Lapicus,1995,10,22,19951022,25,0,Moldova,East Europe,Team Petrosyan,180.34,170,Welterweight,14,4,10,0,14,1,0,0
Andrea Fusi,1991,12,16,19911216,29,0,Italy,West Europe,Clan Mano di Pietra,177.8,170,Welterweight,8,3,2,3,8,1,2,3
Craig Fairley,1992,3,25,1992325,29,0,United States,United States,Laselva MMA,0,155,Lightweight,3,0,3,0,3,4,1,0
Karlos Vemola,1985,7,1,198571,36,0,Czech Republic,East Europe,London Shootfighters,182.88,205,Light Heavyweight,31,8,16,7,31,1,3,2
Honorio Banario,1989,9,25,1989925,31,0,Philippines,Asia,Lakay MMA,175.26,155,Lightweight,15,5,5,5,15,3,5,2
Mahmoud Deab Mohamed,0,0,0,000,0,0,Egypt,Africa,,0,155,Lightweight,3,1,2,0,3,1,5,0
Nicolas Dalby,1984,11,16,19841116,36,0,Denmark,Nordic,Rumble Sports,180.34,170,Welterweight,19,6,4,9,19,0,0,4
Zac Church,1987,11,12,19871112,33,0,United States,United States,The Factory Tulsa,172.72,145,Featherweight,9,4,4,1,9,1,2,2
Ying Qiang Yang,0,0,0,000,0,0,China,Asia,Super Gain Fighting Gym,167.64,125,Flyweight,1,1,0,0,1,0,1,2
Alessio Sakara,1981,9,2,198192,39,0,Italy,West Europe,American Top Team,185.42,205,Light Heavyweight,21,15,2,4,21,6,3,3
Ahmed White,0,0,0,000,0,0,United States,United States,Rogue Empire MMA,180.34,188,Light Heavyweight,0,0,0,0,0,1,0,0
Andrew Natividad,1990,2,3,199023,31,0,United States,United States,Escondido Fight Club,167.64,135,Bantamweight,9,4,3,2,9,3,2,8
Xie Xiaoxiang,0,0,0,000,0,0,China,Asia,AMA Shanghai,193.04,170,Welterweight,1,1,0,0,1,0,0,1
Daniel Spitz,1990,7,31,1990731,31,0,United States,United States,Sikjitsu,200.66,240,Heavyweight,6,2,3,1,6,1,0,2
Steven Ray,1990,3,25,1990325,31,0,Scotland,West Europe,Higher Level MMA,177.8,155,Lightweight,23,6,8,9,23,2,4,3
Melvin Yeoh,1981,1,5,198115,40,0,Malaysia,Asia,Ultimate MMA Academy,170.18,145,Featherweight,7,3,3,1,7,2,0,1
Kenneth Battle,0,0,0,000,0,0,United States,United States,,0,155,Lightweight,2,1,0,1,2,1,3,0
Guangyou Ning,1981,12,15,19811215,39,0,China,Asia,Tiger Muay Thai,165.1,145,Featherweight,5,3,1,1,5,0,1,3
Philipe Lins,1985,8,17,1985817,35,0,Brazil,Brazil,Kimura Nova Uniao,185.42,234,Heavyweight,14,8,4,2,14,4,0,1
Benson Henderson,1983,11,16,19831116,37,0,United States,United States,MMA Lab,175.26,170,Welterweight,28,5,9,14,28,2,2,6
Keoni Diggs,1986,11,19,19861119,34,0,United States,United States,MMA Lab,175.26,145,Featherweight,9,1,6,2,9,0,0,1
Luping Wang,0,0,0,000,0,0,China,Asia,Sihai Liancheng Fight Gym,157.48,115,Strawweight,3,0,1,2,3,0,2,1
Itay Tratner,2000,10,10,20001010,20,0,Israel,Middle East,MMA Black Belt,172.72,145,Featherweight,3,0,2,1,3,0,0,2
Brian Melancon,1982,5,28,1982528,39,0,United States,United States,Paradigm Training Center,172.72,170,Welterweight,7,4,1,2,7,0,1,2
Chiara Penco,1995,11,21,19951121,25,0,Italy,West Europe,Rendoki Dojo,162.56,115,Strawweight,5,1,4,0,5,0,0,2
