RedFighter,BlueFighter,Location,TotalFightTimeSecs,FinishRoundTime,WeightClass,Date,Winner,FinishDetails,Finish
Alexandre Pantoja,Kai Asakura,"Las Vegas, Nevada, USA",425.0,2:05,Flyweight,2024-12-07,Red,Rear Naked Choke,SUB
Shavkat Rakhmonov,Ian Machado Garry,"Las Vegas, Nevada, USA",1500.0,5:00,Welterweight,2024-12-07,Red,,U-DEC
Ciryl Gane,Alexander Volkov,"Las Vegas, Nevada, USA",900.0,5:00,Heavyweight,2024-12-07,Red,,S-DEC
Bryce Mitchell,Kron Gracie,"Las Vegas, Nevada, USA",639.0,0:39,Featherweight,2024-12-07,Red,Elbows,KO/TKO
Nate Landwehr,Dooho Choi,"Las Vegas, Nevada, USA",801.0,3:21,Featherweight,2024-12-07,Blue,Elbows,KO/TKO
Dominick Reyes,Anthony Smith,"Las Vegas, Nevada, USA",586.0,4:46,Light Heavyweight,2024-12-07,Red,Punches,KO/TKO
Vicente Luque,Themba Gorimbo,"Las Vegas, Nevada, USA",52.0,0:52,Welterweight,2024-12-07,Red,Anaconda Choke,SUB
Movsar Evloev,Aljamain Sterling,"Las Vegas, Nevada, USA",900.0,5:00,Featherweight,2024-12-07,Red,,U-DEC
Randy Brown,Bryan Battle,"Las Vegas, Nevada, USA",900.0,5:00,Welterweight,2024-12-07,Blue,,S-DEC
Chris Weidman,Eryk Anders,"Las Vegas, Nevada, USA",591.0,4:51,Catch Weight,2024-12-07,Blue,Punches,KO/TKO
Cody Durden,Joshua Van,"Las Vegas, Nevada, USA",900.0,5:00,Flyweight,2024-12-07,Blue,,U-DEC
Michael Chiesa,Max Griffin,"Las Vegas, Nevada, USA",716.0,1:56,Welterweight,2024-12-07,Red,Rear Naked Choke,SUB
Clay Guida,Chase Hooper,"Las Vegas, Nevada, USA",221.0,3:41,Lightweight,2024-12-07,Blue,Armbar,SUB
Kennedy Nzechukwu,Lukasz Brzeski,"Las Vegas, Nevada, USA",291.0,4:51,Heavyweight,2024-12-07,Red,Punch,KO/TKO
Petr Yan,Deiveson Figueiredo,"Macau, China",1500.0,5:00,Bantamweight,2024-11-23,Red,,U-DEC
Yan Xiaonan,Tabatha Ricci,"Macau, China",900.0,5:00,Women's Strawweight,2024-11-23,Red,,U-DEC
Song Kenan,Muslim Salikhov,"Macau, China",229.0,3:49,Welterweight,2024-11-23,Blue,Kick,KO/TKO
Wang Cong,Gabriella Fernandes,"Macau, China",529.0,3:49,Women's Flyweight,2024-11-23,Blue,Rear Naked Choke,SUB
Volkan Oezdemir,Carlos Ulberg,"Macau, China",900.0,5:00,Light Heavyweight,2024-11-23,Blue,,U-DEC
Zhang Mingyang,Ozzy Diaz,"Macau, China",145.0,2:25,Light Heavyweight,2024-11-23,Red,Elbow,KO/TKO
Baergeng Jieleyisi,SuYoung You,"Macau, China",900.0,5:00,Bantamweight,2024-11-23,Blue,,U-DEC
Kiru Sahota,DongHun Choi,"Macau, China",156.0,2:36,Flyweight,2024-11-23,Blue,Punch,KO/TKO
Shi Ming,Feng Xiaocan,"Macau, China",646.0,0:46,Women's Strawweight,2024-11-23,Red,Kick,KO/TKO
Nyamjargal Tumendemberel,Carlos Hernandez,"Macau, China",900.0,5:00,Flyweight,2024-11-23,Blue,,S-DEC
Lone'er Kavanagh,Jose Ochoa,"Macau, China",900.0,5:00,Flyweight,2024-11-23,Red,,U-DEC
Xiao Long,Quang Le,"Macau, China",688.0,1:28,Bantamweight,2024-11-23,Red,Punch,KO/TKO
Maheshate,Nikolas Motta,"Macau, China",900.0,5:00,Lightweight,2024-11-23,Blue,,U-DEC
Jon Jones,Stipe Miocic,"New York City, New York, USA",869.0,4:29,Heavyweight,2024-11-16,Red,Spinning Back Kick,KO/TKO
Charles Oliveira,Michael Chandler,"New York City, New York, USA",1500.0,5:00,Lightweight,2024-11-16,Red,,U-DEC
Bo Nickal,Paul Craig,"New York City, New York, USA",900.0,5:00,Middleweight,2024-11-16,Red,,U-DEC
Viviane Araujo,Karine Silva,"New York City, New York, USA",900.0,5:00,Women's Flyweight,2024-11-16,Red,,U-DEC
Mauricio Ruffy,James Llontop,"New York City, New York, USA",900.0,5:00,Catch Weight,2024-11-16,Red,,U-DEC
Jonathan Martinez,Marcus McGhee,"New York City, New York, USA",900.0,5:00,Bantamweight,2024-11-16,Blue,,U-DEC
Jim Miller,Damon Jackson,"New York City, New York, USA",164.0,2:44,Lightweight,2024-11-16,Red,Guillotine Choke,SUB
David Onama,Roberto Romero,"New York City, New York, USA",900.0,5:00,Lightweight,2024-11-16,Red,,U-DEC
Marcin Tybura,Jhonata Diniz,"New York City, New York, USA",600.0,5:00,Heavyweight,2024-11-16,Red,,KO/TKO
Mickey Gall,Ramiz Brahimaj,"New York City, New York, USA",175.0,2:55,Welterweight,2024-11-16,Blue,Punch,KO/TKO
Bassil Hafez,Oban Elliott,"New York City, New York, USA",640.0,0:40,Welterweight,2024-11-16,Blue,Punch,KO/TKO
Veronica Hardy,Eduarda Moura,"New York City, New York, USA",900.0,5:00,Women's Flyweight,2024-11-16,Blue,,U-DEC
Neil Magny,Carlos Prates,"Las Vegas, Nevada, USA",290.0,4:50,Welterweight,2024-11-09,Blue,Punch,KO/TKO
Gerald Meerschaert,Reinier de Ridder,"Las Vegas, Nevada, USA",704.0,1:44,Middleweight,2024-11-09,Blue,Arm Triangle,SUB
Gaston Bolanos,Cortavious Romious,"Las Vegas, Nevada, USA",900.0,5:00,Bantamweight,2024-11-09,Red,,U-DEC
Luana Pinheiro,Gillian Robertson,"Las Vegas, Nevada, USA",900.0,5:00,Women's Strawweight,2024-11-09,Blue,,U-DEC
Mansur Abdul-Malik,Dusko Todorovic,"Las Vegas, Nevada, USA",164.0,2:44,Middleweight,2024-11-09,Red,Punches,KO/TKO
Karolina Kowalkiewicz,Denise Gomes,"Las Vegas, Nevada, USA",900.0,5:00,Women's Strawweight,2024-11-09,Blue,,U-DEC
Elizeu Zaleski dos Santos,Zachary Scroggin,"Las Vegas, Nevada, USA",75.0,1:15,Welterweight,2024-11-09,Red,Punches,KO/TKO
Matthew Semelsberger,Charles Radtke,"Las Vegas, Nevada, USA",51.0,0:51,Welterweight,2024-11-09,Blue,Punches,KO/TKO
Cody Stamann,Da'Mon Blackshear,"Las Vegas, Nevada, USA",259.0,4:19,Bantamweight,2024-11-09,Blue,Rear Naked Choke,SUB
Tresean Gore,Antonio Trocoli,"Las Vegas, Nevada, USA",83.0,1:23,Middleweight,2024-11-09,Red,Guillotine Choke,SUB
Melissa Mullins,Klaudia Sygula,"Las Vegas, Nevada, USA",380.0,1:20,Women's Bantamweight,2024-11-09,Red,Punches,KO/TKO
